"LongID","SampleNumber","Sample_ID","Island","Site","Lat","Long","Host_ID","Status","FWD_Filename","REV_Filename"
"CHPd62_BiPb62","2655","CHPd62","Peros Banhos","BiPb62",-5.42721,71.77779,"H. ovalis","healthy","2655_pass_1.fastq.gz","2655_pass_2.fastq.gz"
"CHPd63_BiPb62","2654","CHPd63","Peros Banhos","BiPb62",-5.42721,71.77779,"H. ovalis","healthy","2654_pass_1.fastq.gz","2654_pass_2.fastq.gz"
"CHPd64_BiPb62","2653","CHPd64","Peros Banhos","BiPb62",-5.42721,71.77779,"H. ovalis","healthy","2653_pass_1.fastq.gz","2653_pass_2.fastq.gz"
"CHPd65_BiPb62","2652","CHPd65","Peros Banhos","BiPb62",-5.42721,71.77779,"H. ovalis","impacted","2652_pass_1.fastq.gz","2652_pass_2.fastq.gz"
"CHPd66_BiPb62","2650","CHPd66","Peros Banhos","BiPb62",-5.42721,71.77779,"H. ovalis","healthy","2650_pass_1.fastq.gz","2650_pass_2.fastq.gz"
"CHPd67_BiPb62","2649","CHPd67","Peros Banhos","BiPb62",-5.42721,71.77779,"H. ovalis","impacted","2649_pass_1.fastq.gz","2649_pass_2.fastq.gz"
"CHPd71_BiPb63","2647","CHPd71","Peros Banhos","BiPb63",-5.41518,71.77499,"H. ovalis","healthy","2647_pass_1.fastq.gz","2647_pass_2.fastq.gz"
"CHPd72_BiPb63","2646","CHPd72","Peros Banhos","BiPb63",-5.41518,71.77499,"H. ovalis","healthy","2646_pass_1.fastq.gz","2646_pass_2.fastq.gz"
"CHPd73_BiPb63","2645","CHPd73","Peros Banhos","BiPb63",-5.41518,71.77499,"H. ovalis","healthy","2645_pass_1.fastq.gz","2645_pass_2.fastq.gz"
"CHPd75_BiPb65","2644","CHPd75","Peros Banhos","BiPb65",-5.41077,71.80349,"H. ovalis","healthy","2644_pass_1.fastq.gz","2644_pass_2.fastq.gz"
"CHPd76_BiPb65","2643","CHPd76","Peros Banhos","BiPb65",-5.41077,71.80349,"H. ovalis","impacted","2643_pass_1.fastq.gz","2643_pass_2.fastq.gz"
"CHPd77_BiPb65","2642","CHPd77","Peros Banhos","BiPb65",-5.41077,71.80349,"H. ovalis","healthy","2642_pass_1.fastq.gz","2642_pass_2.fastq.gz"
"CHPd78_BiPb65","2641","CHPd78","Peros Banhos","BiPb65",-5.41077,71.80349,"H. ovalis","healthy","2641_pass_1.fastq.gz","2641_pass_2.fastq.gz"
"CHPd79_BiPb65","2639","CHPd79","Peros Banhos","BiPb65",-5.41077,71.80349,"H. ovalis","impacted","2639_pass_1.fastq.gz","2639_pass_2.fastq.gz"
"CHPd81_BiPb68","2637","CHPd81","Peros Banhos","BiPb68",-5.2563,71.76861,"H. ovalis","healthy","2637_pass_1.fastq.gz","2637_pass_2.fastq.gz"
"CHPd88_BiPb68","2630","CHPd88","Peros Banhos","BiPb68",-5.2563,71.76861,"H. ovalis","impacted","2630_pass_1.fastq.gz","2630_pass_2.fastq.gz"
"CHPd89_BiPb68","2628","CHPd89","Peros Banhos","BiPb68",-5.2563,71.76861,"H. ovalis","impacted","2628_pass_1.fastq.gz","2628_pass_2.fastq.gz"
"CHPd99_BiPb70","2617","CHPd99","Peros Banhos","BiPb70",-5.32515,71.85739,"H. ovalis","impacted","2617_pass_1.fastq.gz","2617_pass_2.fastq.gz"
"CHPd100_BiPb70","2616","CHPd100","Peros Banhos","BiPb70",-5.32515,71.85739,"H. ovalis","impacted","2616_pass_1.fastq.gz","2616_pass_2.fastq.gz"
"CHPd109_BiSa88","2609","CHPd109","Salomon","BiSa88",-5.33932,72.23605,"H. ovalis","healthy","2609_pass_1.fastq.gz","2609_pass_2.fastq.gz"
"CHPd112_BiSa88","2605","CHPd112","Salomon","BiSa88",-5.33932,72.23605,"H. ovalis","impacted","2605_pass_1.fastq.gz","2605_pass_2.fastq.gz"
"CHPd116_BiSa91","2601","CHPd116","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","healthy","2601_pass_1.fastq.gz","2601_pass_2.fastq.gz"
"CHPd118_BiSa91","2600","CHPd118","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","healthy","2600_pass_1.fastq.gz","2600_pass_2.fastq.gz"
"CHPd119_BiSa91","2599","CHPd119","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","healthy","2599_pass_1.fastq.gz","2599_pass_2.fastq.gz"
"CHPd120_BiSa91","2598","CHPd120","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","healthy","2598_pass_1.fastq.gz","2598_pass_2.fastq.gz"
"CHPd121_BiSa91","2597","CHPd121","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","healthy","2597_pass_1.fastq.gz","2597_pass_2.fastq.gz"
"CHPd123_BiSa91","2594","CHPd123","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","impacted","2594_pass_1.fastq.gz","2594_pass_2.fastq.gz"
"CHPd124_BiSa91","2593","CHPd124","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","impacted","2593_pass_1.fastq.gz","2593_pass_2.fastq.gz"
"CHPd125_BiSa91","2592","CHPd125","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","impacted","2592_pass_1.fastq.gz","2592_pass_2.fastq.gz"
"CHPd126_BiSa91","2591","CHPd126","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","impacted","2591_pass_1.fastq.gz","2591_pass_2.fastq.gz"
"CHPd127_BiSa91","2590","CHPd127","Salomon","BiSa91",-5.33965,72.26332,"H. ovalis","impacted","2590_pass_1.fastq.gz","2590_pass_2.fastq.gz"
"CHPd128_BiSa94","2589","CHPd128","Salomon","BiSa94",-5.35038,72.22001,"H. ovalis","healthy","2589_pass_1.fastq.gz","2589_pass_2.fastq.gz"
"CHPd130_BiSa94","2588","CHPd130","Salomon","BiSa94",-5.35038,72.22001,"H. ovalis","healthy","2588_pass_1.fastq.gz","2588_pass_2.fastq.gz"
"CHPd131_BiSa94","2587","CHPd131","Salomon","BiSa94",-5.35038,72.22001,"H. ovalis","healthy","2587_pass_1.fastq.gz","2587_pass_2.fastq.gz"
