"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"2554",4997,1970,1969,1966,1937,1937,0.612367420452271
"2555",4986,2245,2245,2245,2245,2245,0.549739269955876
"2557",4993,1970,1969,1969,1969,1969,0.605647907069898
"2558",7549,248,248,248,246,246,0.967412902371175
"2559",7568,395,381,366,363,363,0.95203488372093
"2560",5000,143,134,123,116,116,0.9768
"2562",7559,560,544,535,529,529,0.930017198042069
"2565",7545,654,605,600,597,597,0.920874751491054
"2566",7492,349,325,327,315,315,0.957955152162306
"2568",5000,346,321,312,309,309,0.9382
"2586",5000,526,496,493,476,476,0.9048
"2587",4999,641,609,587,573,573,0.885377075415083
"2588",5000,334,304,283,275,275,0.945
"2589",5000,300,263,259,253,253,0.9494
"2590",7529,212,201,191,180,180,0.976092442555452
"2591",7517,442,421,414,401,401,0.946654250365837
"2592",7501,458,444,440,425,425,0.943340887881616
"2593",7535,191,162,154,151,151,0.979960185799602
"2594",7512,362,340,340,334,334,0.955537806176784
"2597",5000,368,349,335,332,332,0.9336
"2598",5000,205,183,176,175,175,0.965
"2599",5000,289,258,245,239,239,0.9522
"2600",5000,208,165,162,150,150,0.97
"2601",4999,703,642,610,601,601,0.879775955191038
"2605",7533,270,244,233,212,212,0.97185716182132
"2609",5000,291,255,231,226,226,0.9548
"2616",7510,265,250,230,210,210,0.972037283621838
"2617",7544,483,460,454,449,449,0.940482502651113
"2628",7559,123,101,94,87,87,0.988490541076862
"2630",7555,327,307,301,299,299,0.960423560555923
"2637",5000,138,97,82,74,74,0.9852
"2639",7529,272,254,256,240,240,0.968123256740603
"2641",4999,235,209,198,198,198,0.960392078415683
"2642",5000,148,131,133,130,130,0.974
"2643",7553,284,259,248,223,223,0.970475307824705
"2644",5000,439,406,398,389,389,0.9222
"2645",5000,435,405,391,384,384,0.9232
"2646",5000,184,156,148,146,146,0.9708
"2647",5000,391,357,357,352,352,0.9296
"2649",7557,385,372,362,357,357,0.952759031361651
"2650",5000,321,297,297,273,273,0.9454
"2652",7551,388,365,363,361,361,0.95219176268044
"2653",4997,145,125,120,116,116,0.976786071642986
"2654",5000,201,172,174,160,160,0.968
"2655",5000,395,356,341,325,325,0.935
"2681",7550,308,289,274,271,271,0.964105960264901
